regulation_id,threshold_id,requirement_id,metric,operator,value,value_upper,unit,condition_context,consequence,threshold_type
APS-112,APS-112-THR-031,APS-112-REQ-031,commercial_property_haircut_in_LVR,==,40.0,,percent,"{""loan_type"": ""residential_secured"", ""security_type"": ""mixed_residential_and_commercial"", ""applies_to"": ""commercial_property_component_of_LVR_calculation""}",ADI must apply a 40 per cent haircut to the value of any commercial property when calculating LVR for a residential property exposure secured by both residential and commercial properties.,minimum
APS-112,APS-112-THR-032,APS-112-REQ-036,LMI_loss_coverage,>=,40.0,,percent,"{""loan_type"": ""residential_secured"", ""applies_to"": ""LMI_eligibility"", ""coverage_base"": ""higher_of_original_or_outstanding_loan_amount""}",LMI is only eligible to reduce capital requirements if it covers all losses up to at least 40 per cent of the higher of the original or outstanding loan amount.,minimum
APS-112,APS-112-THR-033,APS-112-REQ-037,risk_weight,==,20.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": false, ""LVR_band"": ""0-60""}",ADI must apply a 20 per cent risk weight to owner-occupied P&I standard loans with LVR ≤ 60% and no LMI.,informational
APS-112,APS-112-THR-034,APS-112-REQ-037,risk_weight,==,25.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": false, ""LVR_band"": ""60.01-70""}",ADI must apply a 25 per cent risk weight to owner-occupied P&I standard loans with LVR 60.01–70% and no LMI.,informational
APS-112,APS-112-THR-035,APS-112-REQ-037,risk_weight,==,30.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": false, ""LVR_band"": ""70.01-80""}",ADI must apply a 30 per cent risk weight to owner-occupied P&I standard loans with LVR 70.01–80% and no LMI.,informational
APS-112,APS-112-THR-036,APS-112-REQ-037,risk_weight,==,35.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": false, ""LVR_band"": ""80.01-90""}",ADI must apply a 35 per cent risk weight to owner-occupied P&I standard loans with LVR 80.01–90% and no LMI.,informational
APS-112,APS-112-THR-037,APS-112-REQ-037,risk_weight,==,50.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": false, ""LVR_band"": ""90.01-100""}",ADI must apply a 50 per cent risk weight to owner-occupied P&I standard loans with LVR 90.01–100% and no LMI.,informational
APS-112,APS-112-THR-038,APS-112-REQ-037,risk_weight,==,70.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": false, ""LVR_band"": "">100""}",ADI must apply a 70 per cent risk weight to owner-occupied P&I standard loans with LVR > 100% and no LMI.,informational
APS-112,APS-112-THR-039,APS-112-REQ-037,risk_weight,==,40.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": true, ""LVR_band"": ""0-70""}",ADI must apply a 40 per cent risk weight to owner-occupied P&I standard loans with LVR ≤ 70% and LMI.,informational
APS-112,APS-112-THR-040,APS-112-REQ-037,risk_weight,==,55.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": true, ""LVR_band"": ""70.01-80""}",ADI must apply a 55 per cent risk weight to owner-occupied P&I standard loans with LVR 70.01–80% and LMI.,informational
APS-112,APS-112-THR-041,APS-112-REQ-037,risk_weight,==,70.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": true, ""LVR_band"": ""80.01-90""}",ADI must apply a 70 per cent risk weight to owner-occupied P&I standard loans with LVR 80.01–90% and LMI.,informational
APS-112,APS-112-THR-042,APS-112-REQ-037,risk_weight,==,85.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": true, ""LVR_band"": ""90.01-100""}",ADI must apply an 85 per cent risk weight to owner-occupied P&I standard loans with LVR 90.01–100% and LMI.,informational
APS-112,APS-112-THR-043,APS-112-REQ-037,risk_weight,==,85.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""owner_occupied_principal_and_interest"", ""LMI"": true, ""LVR_band"": "">100""}",ADI must apply an 85 per cent risk weight to owner-occupied P&I standard loans with LVR > 100% and LMI.,informational
APS-112,APS-112-THR-044,APS-112-REQ-037,risk_weight,==,25.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": false, ""LVR_band"": ""0-60""}",ADI must apply a 25 per cent risk weight to other standard residential property loans with LVR ≤ 60% and no LMI.,informational
APS-112,APS-112-THR-045,APS-112-REQ-037,risk_weight,==,30.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": false, ""LVR_band"": ""60.01-70""}",ADI must apply a 30 per cent risk weight to other standard residential property loans with LVR 60.01–70% and no LMI.,informational
APS-112,APS-112-THR-046,APS-112-REQ-037,risk_weight,==,40.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": false, ""LVR_band"": ""70.01-80""}",ADI must apply a 40 per cent risk weight to other standard residential property loans with LVR 70.01–80% and no LMI.,informational
APS-112,APS-112-THR-047,APS-112-REQ-037,risk_weight,==,45.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": false, ""LVR_band"": ""80.01-90""}",ADI must apply a 45 per cent risk weight to other standard residential property loans with LVR 80.01–90% and no LMI.,informational
APS-112,APS-112-THR-048,APS-112-REQ-037,risk_weight,==,65.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": false, ""LVR_band"": ""90.01-100""}",ADI must apply a 65 per cent risk weight to other standard residential property loans with LVR 90.01–100% and no LMI.,informational
APS-112,APS-112-THR-049,APS-112-REQ-037,risk_weight,==,85.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": false, ""LVR_band"": "">100""}",ADI must apply an 85 per cent risk weight to other standard residential property loans with LVR > 100% and no LMI.,informational
APS-112,APS-112-THR-050,APS-112-REQ-037,risk_weight,==,50.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": true, ""LVR_band"": ""0-70""}",ADI must apply a 50 per cent risk weight to other standard residential property loans with LVR ≤ 70% and LMI.,informational
APS-112,APS-112-THR-051,APS-112-REQ-037,risk_weight,==,70.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_classification"": ""standard"", ""borrower_type"": ""other_standard_residential"", ""LMI"": true, ""LVR_band"": ""70.01-80""}",ADI must apply a 70 per cent risk weight to other standard residential property loans with LVR 70.01–80% and LMI.,informational
