regulation_id,from_section_id,referenced_document,referenced_section_hint,reference_type,description
APS-112,APS-112-S1,Banking Act 1959,section 11AF,requires,This Prudential Standard is made under section 11AF of the Banking Act 1959.
APS-112,APS-112-S3,APS 001,Definitions,requires,Terms defined in APS 001 Definitions appear in bold on first use in this Prudential Standard.
APS-112,APS-112-S6,APS 111,"Capital Adequacy: Measurement of Capital — deductions from CET1, T1 and Total Capital",requires,"Assets required to be deducted from CET1, Tier 1 or Total Capital under APS 111 are excluded from the scope of APS 112."
APS-112,APS-112-S6,APS 120,Securitisation,requires,"Securitisation exposures subject to APS 120 are excluded from scope, except funding-only or synthetic securitisations where underlying exposures must be included in RWA calculations."
APS-112,APS-112-S6,APS 121,Covered Bonds,requires,Liabilities of a covered bond special purpose vehicle to an issuing ADI as specified in APS 121 are excluded from scope.
APS-112,APS-112-S6,APS 116,Capital Adequacy: Market Risk,requires,Items subject to capital requirements under APS 116 that do not have counterparty credit risk exposure under APS 180 are excluded from scope.
APS-112,APS-112-S6,APS 180,Capital Adequacy: Counterparty Credit Risk,requires,Items subject to APS 116 that do not have counterparty credit risk under APS 180 are excluded from scope. APS 180 also defines netting set and is used for EAD calculation for OTC and exchange-traded derivatives.
APS-112,APS-112-S8,APS 111,"Attachment D, paragraph 41 — unrealised fair value losses on liquid assets",elaborates,ADIs with liquid assets at amortised cost may adjust exposures for CET1 deductions to reflect unrealised fair value losses at portfolio level as allowed under paragraph 41 of Attachment D to APS 111.
APS-112,APS-112-S9,APS 210,Liquidity,requires,Liquid assets referenced in paragraph 19 are defined by reference to APS 210 Liquidity.
APS-112,APS-112-S9,APS 180,Adjusted current exposure method (CEM) and EAD for OTC and exchange-traded derivatives,requires,"For significant financial institutions, EAD for OTC and exchange-traded derivative transactions or long-settlement transactions must be determined in accordance with APS 180."
APS-112,APS-112-S7,APS 220,Credit Risk Management — non-performing exposure definition,requires,Defaulted exposure is defined by reference to the non-performing exposure definition in APS 220.
APS-112,APS-112-S7,APS 180,netting set definition,requires,The term netting set has the meaning given in APS 180.
APS-112,APS-112-S7,APS 222,Associations with Related Entities — related entity definition,requires,Related-party exposure is defined by reference to the related entity definition in APS 222.
APS-112,APS-112-ATT-A,APS 112,Attachment E — defaulted exposures,requires,Defaulted property exposures must be risk-weighted in accordance with Attachment E rather than Attachment A.
APS-112,APS-112-ATT-A,APS 112,Attachment C — undrawn committed amounts,requires,The loan amount for LVR purposes includes any undrawn committed amount as set out in Attachment C to this Prudential Standard.
APS-112,APS-112-ATT-A-LVR-CALC,APS 220,independent property valuation requirements,requires,Property valuations must be appraised independently using prudently conservative criteria consistent with the requirements set out in APS 220.
APS-112,APS-112-ATT-B-INTRO,APS 112,Attachment D – unsettled and failed transactions,requires,Unsettled and failed transactions must be risk-weighted in accordance with Attachment D to this Prudential Standard.
APS-112,APS-112-ATT-B-INTRO,APS 112,Attachment E – defaulted exposures,requires,Defaulted exposures must be risk-weighted in accordance with Attachment E to this Prudential Standard.
APS-112,APS-112-ATT-B-INTRO,APS 112,Attachment F – external credit rating requirements,requires,"Where Attachment B requires risk weights based on external credit ratings, ADIs must also comply with the requirements in Attachment F."
APS-112,APS-112-ATT-B-COVERED-BONDS,APS 112,Attachment A paragraphs 3 to 7 – standard loan conditions,requires,Residential and commercial property exposures in covered bond cover pools must meet the standard loan requirements in paragraphs 3 to 7 of Attachment A.
APS-112,APS-112-ATT-B-BANK,APS 112,Attachment B paragraphs 8 to 10 – bank risk weight eligibility for covered bond cover pool,elaborates,Bank assets in covered bond cover pools must qualify for a risk weight of 30 per cent or lower in accordance with paragraphs 8 to 10 of Attachment B.
APS-112,APS-112-ATT-B-S17,APS 112 Attachment B,Table 7 – risk weights for bank exposures,requires,Unrated or non-qualifying covered bonds must be treated as bank exposures and risk-weighted using Table 7 of Attachment B.
APS-112,APS-112-ATT-B-S19,APS 112 Attachment B,Table 10 – risk weights for general corporate exposures,requires,ADIs must apply Table 10 risk weights to rated general corporate exposures.
APS-112,APS-112-ATT-B-S20,APS 112 Attachment B,Table 11 – risk weights for general corporate exposures (short-term issue-specific credit ratings),requires,ADIs must apply Table 11 risk weights to short-term rated general corporate exposures.
APS-112,APS-112-ATT-B-S28,APS 112 Attachment B,Table 10 – risk weights for general corporate exposures,requires,Rated specialised lending exposures with an issue-specific credit rating must be risk-weighted using Table 10.
APS-112,APS-112-ATT-B-S33,APS 111,Deduction of subordinated debt from regulatory capital,requires,Subordinated debt not required to be deducted from regulatory capital under APS 111 must be risk-weighted at 150%.
APS-112,APS-112-ATT-B-S38,APS 111,Deduction of equity exposures from Regulatory Capital; deduction threshold for banking or insurance subsidiaries at Level 1 (Attachment D to APS 111),requires,Equity exposures not required to be deducted from Regulatory Capital under APS 111 must be risk-weighted at 250% or 400%; the risk-weighting of equity in banking or insurance subsidiaries at Level 1 is subject to the deduction threshold in Attachment D to APS 111.
APS-112,APS-112-ATT-C,APS 112,"Attachments A, B and D – risk-weighting requirements",requires,"After applying CCFs, committed but undrawn amounts must be risk-weighted according to the requirements in Attachments A, B and D to APS 112."
APS-112,APS-112-ATT-D-CONT,APS 112 Attachment B,Risk weights based on counterparty type,requires,ADIs must apply the relevant risk weight based on the counterparty as detailed in Attachment B when risk-weighting equity exposures.
APS-112,APS-112-ATT-F,APS 112 Attachment I,Criteria for recognising guarantees for risk-weighting purposes,requires,"Where a rated entity has guaranteed another entity's exposure, the guarantee may be recognised for risk-weighting purposes if the criteria in Attachment I are satisfied."
APS-112,APS-112-ATT-G,APS 112 Attachment B,Risk weights for counterparties including banks and sovereigns,requires,Attachment G references Attachment B for determining risk weights applicable to third-party banks holding cash collateral and for identifying sovereign securities eligible for zero per cent risk weight.
APS-112,APS-112-ATT-G,APS 120,Definition of senior securitisation exposures and resecuritisation exposures,requires,Attachment G references APS 120 for the definitions of senior securitisation exposures eligible as collateral and resecuritisation exposures which are excluded from eligible collateral.
APS-112,APS-112-ATT-G,APS 180 Attachment E,Adjusted CEM for OTC derivatives,requires,"For OTC derivatives to which the ADI applies the adjusted CEM, the EAD calculation under the comprehensive approach references Attachment E to APS 180."
APS-112,APS-112-ATT-G,APS 180,Definition of qualifying central counterparties,requires,"Attachment G references APS 180 for the definition of qualifying central counterparties, which are listed as core market participants eligible for zero per cent risk weight on qualifying SFTs."
APS-112,APS-112-ATT-G,APS 112 Attachment J,Criteria for credit derivatives — cash-funded credit-linked notes,requires,Cash-funded credit-linked notes issued by the ADI against banking book exposures that fulfil the criteria in Attachment J may be treated as cash collateralised transactions under the simple approach.
APS-112,APS-112-ATT-G-SFT-NETTING,APS 112 Attachment H,Eligible bilateral netting agreement requirements,requires,SFT netting treatment under the comprehensive approach requires the netting agreement to meet the requirements detailed in Attachment H to this Prudential Standard.
APS-112,APS-112-ATT-H-NETTING,APS 112 Attachment G,Simple or comprehensive approach for RWA calculation; eligible collateral criteria for banking book,requires,On-balance sheet netting for RWA calculation must apply the simple or comprehensive approach as set out in Attachment G; internal banking/trading book netting requires collateralised instruments to comply with eligible collateral criteria in Attachment G.
APS-112,APS-112-ATT-I-GUARANTEES,APS 111,Deduction from Common Equity Tier 1 Capital for materiality threshold guarantees,requires,"Where a guarantee provides for a materiality threshold on payments, it must be deducted from Common Equity Tier 1 Capital in accordance with APS 111."
APS-112,APS-112-ATT-G-SUPERVISORY-HAIRCUTS,APS 120,Definition of securitisation exposure,elaborates,Securitisation exposure in Table 23 has the meaning given in APS 120.
APS-112,APS-112-ATT-I-CURR,APS 112,paragraph 32 of Attachment G,requires,Currency mismatch haircut for guarantees must be adjusted for actual revaluation frequency in accordance with paragraph 32 of Attachment G to APS 112.
APS-112,APS-112-ATT-J,APS 120,synthetic securitisation requirements,requires,"Where an ADI buys credit protection through a credit derivative forming part of a synthetic securitisation, the requirements of APS 120 apply."
APS-112,APS-112-ATT-J,APS 112,Attachment G – cash-collateralised transactions,requires,Cash-funded credit linked notes satisfying minimum credit derivative requirements may be treated as cash-collateralised transactions under Attachment G to APS 112.
