regulation_id,section_id,section_number,title,content_summary,text,section_type,paragraph_range,source_page_start,source_page_end
APS-220,APS-220-S1,Preamble,Objectives and Key Requirements,"This section outlines the purpose of APS 220, requiring ADIs to implement a credit risk management framework appropriate to their size, business mix and complexity. It summarises the key requirements including credit risk appetite, policies, credit assessment, portfolio administration, problem exposure management, and provisioning practices.","This Prudential Standard requires an authorised deposit-taking institution to implement a credit risk management framework that is appropriate to its size, business mix and complexity.
The key requirements of this Prudential Standard are that an authorised deposit-taking institution must maintain:
 an appropriate credit risk appetite statement and credit risk management strategy that reflects its credit risk appetite and credit risk profile;
 prudent policies and processes to identify, measure, monitor, report and control or mitigate credit risk over the full credit life-cycle;
 sound credit assessment and approval criteria, including for the comprehensive assessment of a borrower's repayment capacity;
 an appropriate system for the ongoing administration of its credit portfolio;
 prudent policies and processes for the early identification and management of problem exposures, including non-performing and restructured exposures and other transactions; and
 appropriate credit risk practices, including an effective system of internal control, to consistently determine adequate provisions in accordance with the authorised deposit-taking institution's stated policies and processes and Australian Accounting Standards.

January 2021
Table of Contents
Authority ........................................................................................................... 3
Application ....................................................................................................... 3
Scope ............................................................................................................... 3
Interpretation .................................................................................................... 3
Definitions ........................................................................................................ 4
Adjustments and exclusions............................................................................. 6
Previous exercise of discretion ........................................................................ 6
Credit risk management framework ................................................................. 6
Outsourcing...................................................................................................... 7
Large exposures and associations with related entities ................................... 7
Credit risk appetite ........................................................................................... 7
Credit risk management strategy ..................................................................... 7
The role of the Board and senior management ................................................ 8
Credit risk policies and processes .................................................................... 9
Credit origination ............................................................................................ 10
Credit assessment and approval process ...................................................... 11
Credit administration, measurement and monitoring ...................................... 14
Controls over credit risk ................................................................................. 16
Classification of exposures and provisions .................................................... 17
Non-performing exposures ............................................................................ 17
Restructured exposures ................................................................................. 19
Credit risk and accounting for expected credit losses .................................... 20
Prescribed provisioning .................................................................................. 20
Supervisory limits ........................................................................................... 21
Adequacy of credit risk management and provisions ..................................... 21
Special purpose engagements....................................................................... 21
Attachment A – Collateral valuation ............................................................... 22
Attachment B – Prescribed provisioning ........................................................ 26
APS 220 - 2",core,whole,1,2
APS-220,APS-220-S2,Authority,Authority,This Prudential Standard is made under section 11AF of the Banking Act 1959.,1. This Prudential Standard is made under section 11AF of the Banking Act 1959 (Banking Act).,core,1,3,3
APS-220,APS-220-S3,Application,Application,"APS 220 applies to all ADIs except PPF providers, with foreign ADIs exempt from certain paragraphs relating to capital adequacy. The standard applies to foreign ADIs only in relation to their Australian business, and references to an ADI include both Level 1 and Level 2 bases.","2. This Prudential Standard applies to all authorised deposit-taking institutions (ADIs) other than purchased payment facility providers (PPF providers), subject to paragraph 3.
3. Foreign ADIs must comply with the provisions in this Prudential Standard with the exception of paragraphs 23, 74 and 93 as relates to the quantitative aspects of capital adequacy.
4. The obligations imposed by this Prudential Standard on, or in relation to, foreign ADIs only apply in relation to their Australian business.
5. A reference to an ADI in this Prudential Standard, unless otherwise indicated, is a reference to:
(a) an ADI on a Level 1 basis; and
(b) a group of which an ADI is a member on a Level 2 basis.
6. If an ADI to which this Prudential Standard applies is:
(a) the holding company for a group, the ADI must ensure that the requirements in this Prudential Standard are met on a Level 2 basis, where applicable; or
(b) a subsidiary of an authorised non-operating holding company (authorised NOHC), the authorised NOHC must ensure that the requirements in this Prudential Standard are met on a Level 2 basis, where applicable.",core,2-6,3,3
APS-220,APS-220-S4,Scope,Scope,"APS 220 applies to all ADI activities giving rise to credit risk, except exposures securitised or transferred into securitisation vehicles meeting APRA's operational requirements for regulatory capital relief under APS 120.","7. This Prudential Standard applies to all activities of the ADI that give rise to credit risk, except exposures that have been securitised, transferred or originated into securitisation vehicles that meet APRA's operational requirements for regulatory capital relief in Prudential Standard APS 120 Securitisation (APS 120).",core,7,3,3
APS-220,APS-220-S5,Interpretation,Interpretation,Defined terms appear in bold on first use; APRA powers are exercised in writing; references to Acts and Standards are to current versions; references to a borrower include a counterparty.,"8. Terms that are defined in Prudential Standard APS 001 Definitions (APS 001) appear in bold the first time they are used in this Prudential Standard.
9. Where this Prudential Standard provides for APRA to exercise a power or discretion, this power or discretion is to be exercised in writing.
10. In this Prudential Standard, unless the contrary intention appears, a reference to an Act, Regulations or Prudential Standard is a reference to the Act, Regulations or Prudential Standards as in force from time to time.
11. In this Prudential Standard, a reference to a borrower is also a reference to a counterparty.",core,8-11,3,4
APS-220,APS-220-S6,Definitions,Definitions,"This section defines key terms used in APS 220, including non-performing (default), past-due, and restructured exposures. It specifies the conditions under which each classification applies, including the 90-days past-due trigger for non-performing status and the criteria for restructured exposures.","12. The following definitions are used in this Prudential Standard in reference to an exposure:
(a) non-performing – an exposure that is in default. A default is considered to have occurred with regard to a particular borrower when either, or both, of the events in sub-paragraphs (i) or (ii) have taken place:
(i) the ADI considers that the borrower is unlikely to pay its credit obligations to the ADI in full, without recourse by the ADI to actions such as realising available security;
Elements to be taken as indications of unlikeliness to pay include:
(A) the ADI puts the credit obligation on non-accrued status (e.g. the lending ADI no longer recognises accrued interest as income or, if recognised, makes an equivalent amount of provisions);
(B) the ADI makes a charge-off or account-specific provision resulting from a significant perceived decline in credit quality subsequent to the ADI taking on the exposure;
(C) the ADI consents to a distressed restructuring of the credit obligation where this is likely to result in a diminished financial obligation caused by the material forgiveness, or postponement, of principal, interest or fees;
(D) the ADI has applied for the borrower's bankruptcy or a similar order in respect of the borrower's credit obligation to the ADI;
(E) the borrower has sought or has been placed in bankruptcy or afforded similar protection where this would avoid or delay repayment of any of the credit obligations to the ADI;
(F) the ADI sells the credit obligation at a material credit-related economic loss; and
(G) the exposure is a reverse mortgage with a loan-to-valuation ratio (LVR) greater than 100 per cent.
(ii) the borrower is 90 days or more past-due on a credit obligation to the ADI or, in the case of subsidiaries in jurisdictions where a different number of days past-due is set for exposures to individuals (i.e. natural persons) or public sector entities by the national regulator, the borrower is past-due by the number of days (or more) specified by that national regulator.
An exposure subject to a regular repayment schedule is considered 90 days past-due when:
(A) at least 90 calendar days have elapsed since the due date of a contractual payment which has not been met in full; and
(B) the total amount unpaid outside contractual arrangements is equivalent to at least 90 days' worth of contractual payments.
For exposures to individuals, the definition of default may be applied at the level of a particular credit obligation, rather than at the level of the borrower. As such, default by a borrower on one obligation, does not require an ADI to treat all other obligations to the ADI as being in default.
(b) past-due – an exposure for which any amount due under a contract (interest, principal, fee or other amount) has not been paid in full at the date when it was due. An exposure is considered past-due from the first day of missed payment.
An exposure will remain outside of contractual arrangements notwithstanding any waiver of payments unless such an exposure has been restructured.
(c) restructured – an exposure for which:
(i) a borrower is experiencing financial difficulty or hardship in meeting its financial commitments; and
(ii) the ADI grants a concession to the borrower that it would not otherwise consider, whether or not the concession is at the discretion of the ADI or the borrower.
Examples of concessions include, but are not limited to:
(A) extending a loan term;
(B) rescheduling the dates of principal or interest payments;
(C) granting new or additional periods of non-payment (grace period);
(D) reducing the interest rate, resulting in an effective interest rate below the current interest rate that borrowers with similar risk characteristics could obtain from the ADI or other institutions in the market;
(E) capitalising arrears;
(F) forgiving, deferring or postponing principal, interest or relevant fees;
(G) changing an amortising loan to an interest payment only;
(H) allowing the conversion of debt to equity of the borrower;
(I) deferring recovery/collection actions for extended periods of time;
(J) easing of covenants; and
(K) refinancing an existing exposure with a new contract, even if the terms of the new contract are no more favourable for the borrower than those of the existing transaction.",core,12,4,6
APS-220,APS-220-S7,Adjustments and exclusions,Adjustments and Exclusions,APRA may adjust or exclude specific requirements in APS 220 for one or more specified ADIs or authorised NOHCs.,13. APRA may adjust or exclude a specific requirement in this Prudential Standard in relation to one or more specified ADIs or authorised NOHCs.,core,13,6,6
APS-220,APS-220-S8,Previous exercise of discretion,Previous Exercise of Discretion,ADIs seeking to rely on a previous APRA exemption or discretion under a prior version of APS 220 must contact APRA.,"14. An ADI must contact APRA if it seeks to place reliance, for the purposes of complying with this Prudential Standard, on a previous exemption or other exercise of discretion by APRA under a previous version of this Prudential Standard.",core,14,6,6
APS-220,APS-220-S9,Credit risk management framework,Credit Risk Management Framework,"ADIs must implement a credit risk management framework appropriate to their size, business mix and complexity, including a credit risk appetite statement, management strategy, policies, a designated credit risk function, management information systems, and an independent review process. A stand-alone document is not required if these elements form part of the ADI's overall risk management framework under CPS 220.","15. An ADI must implement a credit risk management framework that is appropriate to its size, business mix and complexity. The credit risk management framework must, at a minimum, include:
(a) a credit risk appetite statement;
(b) a credit risk management strategy;
(c) policies and processes supporting clearly defined and documented roles, responsibilities and formal reporting structures for the management of credit risk;
(d) a designated credit risk management function;
(e) a management information system that is adequate, both under normal circumstances and in periods of stress, for measuring, assessing and reporting on credit risk; and
(f) an independent review process to ensure that the credit risk management framework is effective in identifying, measuring, evaluating, monitoring, reporting, and controlling or mitigating credit risk.
16. An ADI need not have a stand-alone credit risk appetite statement or credit risk management strategy document where they form part of the ADI's overall risk appetite statement or risk management strategy document required under Prudential Standard CPS 220 Risk Management (CPS 220).",core,15-16,6,7
APS-220,APS-220-S10,Outsourcing,Outsourcing,"ADIs may outsource aspects of credit risk management including origination and assessment, but must comply with CPS 231 for outsourced functions.","17. An ADI may outsource aspects of its credit risk management, including credit origination, credit assessment and approval, however, it must have regard to Prudential Standard CPS 231 Outsourcing (CPS 231) for outsourced functions.",core,17,7,7
